dzielnica,typ_szkoly,nazwa_szkoly,nazwa_oddzialu,rozszerzenia,jezyki,prog_min,ranking25,srednia22do24
Bielany,LO,XLI LO im. J. Lelewela,1C [O] biol-chem-mat (ang-hisz*),biol-chem-mat,ang-hisz,168.25,24,20.67
Bielany,LO,XLI LO im. J. Lelewela,1P [O] hist-pol-wos (ang-fra*),hist-pol-wos,ang-fra,155.70,24,20.67
Bielany,LO,XLI LO im. J. Lelewela,1A [O] fiz-ang-mat (ang-niem*),ang-fiz-mat,ang-niem,169.15,24,20.67
Bielany,LO,XLI LO im. J. Lelewela,1B [D] biz-geogr-mat (ang-niem*),biz-geogr-mat,ang-niem,182.69,24,20.67
Bielany,LO,XLI LO im. J. Lelewela,1E [O] hist-ang-pol (ang-fra*),ang-hist-pol,ang-fra,153.60,24,20.67
Bielany,LO,XXII LO z Oddziałami Dwujęzycznymi im. Jose Marti,1Ah [O] fiz-ang-mat (ang-hisz*),ang-fiz-mat,ang-hisz,162.00,20,25.0
Bielany,LO,XXII LO z Oddziałami Dwujęzycznymi im. Jose Marti,1Cn [O] biol-chem-ang (ang-niem),ang-biol-chem,ang-niem,158.90,20,25.0
Bielany,LO,XXII LO z Oddziałami Dwujęzycznymi im. Jose Marti,1Ch [O] biol-chem-ang (ang-hisz*),ang-biol-chem,ang-hisz,162.70,20,25.0
Bielany,LO,XXII LO z Oddziałami Dwujęzycznymi im. Jose Marti,1An [O] fiz-ang-mat (ang-niem),ang-fiz-mat,ang-niem,167.30,20,25.0
Bielany,LO,XXII LO z Oddziałami Dwujęzycznymi im. Jose Marti,1Bh [O] geogr-ang-mat (ang-hisz*),ang-geogr-mat,ang-hisz,166.20,20,25.0
Bielany,LO,XXII LO z Oddziałami Dwujęzycznymi im. Jose Marti,1Dn [O] biol-chem-mat (ang-niem),biol-chem-mat,ang-niem,156.40,20,25.0
Bielany,LO,XXII LO z Oddziałami Dwujęzycznymi im. Jose Marti,1Bn [O] geogr-ang-mat (ang-niem),ang-geogr-mat,ang-niem,163.65,20,25.0
Bielany,LO,XXII LO z Oddziałami Dwujęzycznymi im. Jose Marti,1Dh [O] biol-chem-mat (ang-hisz*),biol-chem-mat,ang-hisz,157.35,20,25.0
Bielany,LO,XXII LO z Oddziałami Dwujęzycznymi im. Jose Marti,1H [D] geogr-hiszp-pol (hisz-ang),geogr-hiszp-pol,ang-hisz,143.90,20,25.0
Bielany,LO,XXXIX LO im. Lotnictwa Polskiego,1An [O] hist-ang-pol (ang-niem),ang-hist-pol,ang-niem,109.70,,
